engine,c,b,maxlen,kv,N,fail,out_tps,ttft50,ttft99,tpot50,tpot99,slo,run_seen,stalls,oom,peak_res
p1_scratch_kv,1,1,4096,None,256,0,45.83,27.20,55.13,21.75,22.10,1.00,None,None,0,8.29
p1_scratch_kv,2,1,4096,None,256,0,45.75,2625.64,6384.69,21.75,22.18,0.00,None,None,0,8.29
p1_scratch_kv,4,1,4096,None,256,0,45.41,8487.33,13182.21,21.91,22.44,0.00,None,None,0,8.29
p1_scratch_kv,8,1,4096,None,256,0,45.57,19770.73,26024.54,21.81,22.38,0.00,None,None,0,8.29
p1_scratch_kv,16,1,4096,None,256,0,45.48,42562.87,51823.77,21.87,22.40,0.00,None,None,0,8.29
p1_scratch_kv,32,1,4096,None,256,0,45.58,88020.76,97194.89,21.81,22.32,0.00,None,None,0,8.29
p1_scratch_kv,64,1,4096,None,256,0,45.54,179317.53,187774.15,21.80,22.46,0.00,None,None,0,8.29
p1_scratch_kv,128,1,4096,None,256,0,45.44,355637.32,373998.32,21.81,22.58,0.00,None,None,0,8.29
p2_static_batch,1,1,4096,None,256,0,46.46,25.57,53.79,21.47,21.91,1.00,None,None,0,8.29
p2_static_batch,2,2,4096,None,256,0,71.56,52.60,140.93,22.77,23.53,1.00,None,None,0,9.05
p2_static_batch,4,4,4096,None,256,0,120.66,129.11,302.81,22.67,24.77,1.00,None,None,0,10.57
p2_static_batch,8,8,4096,None,256,0,152.68,364.16,681.16,28.92,38.54,1.00,None,None,0,13.60
p2_static_batch,16,16,4096,None,256,0,145.26,918.48,1435.56,53.04,70.44,0.62,None,None,0,19.66
p2_static_batch,32,32,4096,None,256,0,125.94,2054.88,2874.53,103.38,133.20,0.00,None,None,0,31.90
p2_static_batch,32,32,1152,None,256,0,126.06,2051.83,2864.14,103.37,132.93,0.00,None,None,0,18.97
p2_static_batch,64,64,4096,None,256,238,111.78,755.88,827.47,49.06,58.64,1.00,None,None,4,46.80
p2_static_batch,64,64,1152,None,256,0,119.62,4321.39,79109.77,170.89,236.28,0.00,None,None,0,29.17
p2_static_batch,128,128,1152,None,256,0,115.99,11207.29,142671.10,237.86,408.19,0.00,None,None,0,46.84
p3_continuous_batch,1,1,4096,4.00,256,0,44.26,26.26,54.06,22.55,22.99,1.00,1,0,0,11.73
p3_continuous_batch,2,2,4096,4.00,256,0,80.74,49.80,77.64,24.57,25.13,1.00,2,0,0,11.73
p3_continuous_batch,4,4,4096,4.00,256,0,158.35,50.19,91.96,24.81,26.22,1.00,4,0,0,11.73
p3_continuous_batch,8,8,4096,4.00,256,0,236.47,57.49,161.96,32.66,39.91,1.00,8,0,0,11.73
p3_continuous_batch,16,16,4096,4.00,256,0,260.19,80.40,413.05,58.81,74.30,1.00,16,0,0,11.91
p3_continuous_batch,32,32,4096,4.00,256,0,251.59,145.76,874.05,122.97,148.32,0.07,32,0,0,12.30
p3_continuous_batch,64,64,4096,4.00,256,0,248.99,257.11,1910.47,240.62,281.71,0.00,64,0,0,13.08
p3_continuous_batch,64,64,4096,3.00,256,0,246.98,5818.68,18577.96,195.49,235.74,0.00,56,700,0,11.77
p3_continuous_batch,64,64,4096,1.50,256,0,249.70,19524.59,24087.93,99.09,113.97,0.11,29,1399,0,9.60
p3_continuous_batch,64,64,4096,0.75,256,0,259.57,25375.79,28312.04,47.43,56.38,0.05,15,2736,0,8.57
p3_continuous_batch,128,64,4096,4.00,256,0,249.44,30224.83,46830.94,241.25,282.49,0.00,64,0,0,13.08
p3_continuous_batch,128,128,4096,4.00,256,0,249.80,28164.28,45725.22,258.03,308.11,0.00,74,513,0,13.33
